
土佐,とさ,土佐,4.578,43.0,名詞,固有名詞,地域,一般
の,の,の,1.265,88260.0,助詞,連体化
国,くに,国,3.379,680.0,名詞,一般
、,、,、,1.245,92571.0,記号,読点
高岡,たかおか,高岡,5.512,5.0,名詞,固有名詞,地域,一般
郡,ぐん,郡,3.747,291.0,名詞,接尾,地域
佐川,さがわ,佐川,4.655,36.0,名詞,固有名詞,地域,一般
町,まち,町,3.459,565.0,名詞,接尾,地域
この,この,この,2.492,5233.0,連体詞
は,は,は,1.475,54520.0,助詞,係助詞
高知,こうち,高知,4.667,35.0,名詞,固有名詞,地域,一般
から,から,から,2.240,9366.0,助詞,格助詞,一般
西,にし,西,4.354,72.0,名詞,一般
へ,へ,へ,2.462,5608.0,助詞,格助詞,一般
七,なな,七,3.678,341.0,名詞,数
里,さと,里,4.111,126.0,名詞,一般
隔,隔,隔,5.512,5.0,名詞,一般
っ,っ,く,3.717,312.0,動詞,非自立
た,た,た,1.490,52676.0,助動詞
ところ,ところ,ところ,2.972,1736.0,名詞,非自立,副詞可能
に,に,に,1.446,58279.0,助詞,格助詞,一般
あり,あり,ある,2.760,2827.0,動詞,自立
その,その,その,2.286,8413.0,連体詞
周囲,しゅうい,周囲,4.132,120.0,名詞,一般
山,やま,山,3.541,468.0,名詞,一般
で,で,で,1.727,30470.0,助詞,格助詞,一般
囲ま,かこま,囲む,4.981,17.0,動詞,自立
れ,れ,れる,2.537,4722.0,動詞,接尾
その間,そのかん,その間,4.203,102.0,名詞,副詞可能
ずっと,ずっと,ずっと,3.978,171.0,副詞,一般
田,た,田,4.287,84.0,名詞,一般
が,が,が,1.645,36785.0,助詞,格助詞,一般
連,れん,連,4.620,39.0,名詞,一般
り,り,り,3.710,317.0,助動詞
春日,かすが,春日,4.981,17.0,名詞,固有名詞,地域,一般
川,がわ,川,4.062,141.0,名詞,接尾,地域
という,という,という,2.519,4923.0,助詞,格助詞,連語
流れ,ながれ,流れる,3.921,195.0,動詞,自立
て,て,て,1.462,56095.0,助詞,接続助詞
いる,いる,いる,2.257,8990.0,動詞,非自立
。,。,。,1.436,59526.0,記号,句点
側,がわ,側,3.956,180.0,名詞,一般
ある,ある,ある,2.138,11823.0,動詞,自立
南,みなみ,南,4.267,88.0,名詞,一般
を,を,を,1.534,47592.0,助詞,格助詞,一般
負っ,おっ,負う,4.956,18.0,動詞,自立
なり,なり,なる,2.964,1766.0,動詞,自立
北,きた,北,4.412,63.0,名詞,一般
開い,ひらい,開く,4.065,140.0,動詞,自立
なっ,なっ,なる,2.651,3635.0,動詞,自立
人口,じんこう,人口,4.956,18.0,名詞,一般
五,ご,五,3.261,892.0,名詞,数
千,せん,千,3.921,195.0,名詞,数
位,い,位,3.827,242.0,名詞,接尾,助数詞
小さい,ちいさい,小さい,3.932,190.0,形容詞,自立
色々,いろいろ,色々,4.314,79.0,名詞,形容動詞語幹
な,な,だ,2.152,11460.0,助動詞
人物,じんぶつ,人物,4.186,106.0,名詞,一般
輩出,はいしゅつ,輩出,5.910,2.0,名詞,サ変接続
し,し,する,1.991,16608.0,動詞,自立
現代,げんだい,現代,4.354,72.0,名詞,一般
人,ひと,人,2.445,5831.0,名詞,一般
田中,たなか,田中,4.479,54.0,名詞,固有名詞,人名,姓
光,ひかり,光,3.791,263.0,名詞,固有名詞,人名,名
顕,あらわ,顕,4.578,43.0,名詞,形容動詞語幹
・,・,・,3.656,359.0,記号,一般
土方,ひじかた,土方,5.065,14.0,名詞,固有名詞,人名,姓
寧,やすし,寧,4.932,19.0,名詞,固有名詞,人名,名
